0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,label
0.73646,-1.761829,1.590594,-0.268853,0.572145,-1.941886,0.727704,1.869884,0.224501,-1.442215,1.222878,2.184147,-17.700874,-48.591059,-69.920646,-56.304775,35.642548,0.539676,2.083801,0.439963,2.451373,1.973873,2.381104,2.220872,2.440442,0.510303,1.157391,0.265448,1.141465,0.356314,0.568853,1.954376,0.052627
0.25684,0.16504,-1.776401,1.723357,2.117348,-1.692605,1.077334,1.761624,-0.333281,1.57386,1.228959,0.708848,21.786179,10.305694,-42.206506,-14.753722,-15.809157,0.557422,1.096861,2.183588,1.308812,0.45454,2.20635,1.369922,1.528851,1.901706,2.222391,0.968513,0.546513,2.23634,1.412382,1.898374,-0.00201
0.96827,1.834561,0.299747,0.308144,0.064617,2.174855,-1.213028,-1.563548,-2.27727,-0.059009,-2.169927,-0.781419,3.957141,57.666741,54.922653,-14.973708,36.882913,0.491771,2.437949,1.362933,1.056741,0.646724,1.235894,1.171433,2.273871,2.199479,0.6464,0.302676,1.323917,2.324899,0.33422,0.491228,0.015778
1.973219,-1.900328,1.755539,1.069326,-0.896503,-2.026054,-0.159037,-1.017832,-0.739092,-0.066928,1.403939,1.067098,-20.289144,-49.643,-49.894246,-72.587127,-21.835739,2.22596,2.46699,1.196056,2.107127,0.989808,0.696371,0.906589,1.540755,1.722584,2.211768,2.437457,2.087463,1.235701,2.424325,1.88345,0.045423
0.825565,2.000705,-1.759389,0.185671,0.969628,1.09787,-1.805552,1.879531,2.132396,1.460123,-1.826648,0.743513,-32.964663,62.907365,-65.911658,-27.237363,21.645967,2.181548,0.776967,0.981137,1.213539,1.197058,0.948815,2.477833,1.189986,1.349215,2.250026,1.94425,1.762353,2.363805,1.722101,0.849889,0.020295
0.734112,1.180068,-1.034351,-0.34126,-0.574536,-0.540296,0.018133,-1.545991,0.647626,-0.97031,1.576308,-0.03921,23.303159,6.200741,-34.151271,69.594734,-21.298284,0.471062,0.892202,0.487894,0.289095,0.325768,2.435523,1.090482,0.724301,2.331182,2.42771,0.269038,0.718057,0.878972,0.876069,1.594595,-0.067276
0.805596,0.964388,-2.149934,0.664719,-1.144362,-2.030436,1.578742,-1.53829,-1.874612,0.435958,-0.624537,-2.103455,-13.362686,-36.667202,-65.666743,39.042332,-65.526356,1.353083,2.018219,0.708041,1.302717,1.506095,1.934665,0.416524,2.271327,2.189305,0.642488,2.047515,0.33719,0.898273,1.266921,0.634945,-0.016086
0.104635,0.871885,-1.75768,0.638052,-1.665193,-0.016683,2.346091,2.186103,-0.671349,-1.900788,-1.250359,-2.239485,-37.447745,15.757451,-64.51882,-17.800315,-69.891474,1.134948,1.067419,2.355897,1.563933,2.023823,0.393097,2.281937,0.513909,1.016225,1.43536,1.093416,0.546241,2.168585,1.158092,0.802747,-0.015369
2.274685,-0.981603,0.27551,-1.786229,1.475403,0.510749,-1.821545,1.678368,-0.022703,0.13617,-1.604116,-0.807144,41.505545,-66.301838,15.011442,-2.689907,-59.262101,1.10304,0.297207,1.657771,1.906804,2.404041,0.720151,2.332524,2.489013,2.348398,1.531804,2.029784,1.574799,2.395579,0.253445,1.89469,-0.002328
0.853334,2.184567,1.796832,-2.348315,-1.880052,-1.465282,-0.046863,-0.664311,-1.417508,1.777056,-0.140663,1.502941,48.546645,73.46346,50.377487,-55.578609,-59.67422,0.705858,0.598444,2.042083,1.288022,2.031514,1.410007,2.49438,0.301667,2.372471,1.118049,0.542665,0.57449,2.195622,1.073935,1.634544,-0.017214
